,StateAbb,CCode,StateNme,Names,SpeechCount
148,SAL,92,El Salvador,"El Salvador,el salvador,salvador,salvadr",14
149,CHA,483,Chad,"Chad,chad",14
150,GRN,55,Grenada,"Grenada,grenada,grenada is",13
151,ITA,325,Italy,"Italy,italy,italy/sardinia",13
152,NIR,436,Niger,"Niger,niger",13
153,NIG,475,Nigeria,"Nigeria,nigeria",13
154,SEN,433,Senegal,"Senegal,senegal",12
155,KEN,501,Kenya,"Kenya,kenya",12
156,LEB,660,Lebanon,"Lebanon,lebanon",12
157,SIN,830,Singapore,"Singapore,singapore,singapr",12
158,AUL,900,Australia,"Australia,australia,austral",12
159,BAR,53,Barbados,"Barbados,barbados,barbado",11
160,IRE,205,Ireland,"Ireland,ireland,eire",11
161,UAE,696,United Arab Emirates,"United Arab Emirates,united arab emirates,unit arab em,united arab emerates,united ae,united a e,arab emirates,arab_em,uae",11
162,TRI,52,Trinidad and Tobago,"Trinidad and Tobago,trinidad and tobago,trinidad tob,trinidad tobago,trinidad,trin and tobago,trin tobago",10
163,CON,484,Congo,"Congo,congo,rep of congo,congo rep of,congo brazaville,congo brazzaville,congo rep,congo brazzaville,congo brazaville,congo brazaville,congo brazzaville,congo republic of",10
164,GUA,90,Guatemala,"Guatemala,guatemala,guatmala",9
165,HON,91,Honduras,"Honduras,honduras,hondura",8
166,LBR,450,Liberia,"Liberia,liberia",8
167,BAH,692,Bahrain,"Bahrain,bahrain",8
168,CHL,155,Chile,"Chile,chile",7
169,SPN,230,Spain,"Spain,spain",7
170,POL,290,Poland,"Poland,poland",7
171,KOS,347,Kosovo,Kosovo,7
172,GHA,452,Ghana,"Ghana,ghana",7
173,MAL,820,Malaysia,"Malaysia,malaysia",7
174,NIC,93,Nicaragua,"Nicaragua,nicaragua,nicaraga",6
175,SSD,626,South Sudan,South Sudan,6
176,QAT,694,Qatar,"Qatar,qatar",6
177,SWD,380,Sweden,"Sweden,sweden",5
178,GUI,438,Guinea,"Guinea,guinea",5
179,CEN,482,Central African Republic,"Central African Republic,central african republic,c african rep,central african empire,c_africa,cen african rep",5
180,ETH,530,Ethiopia,"Ethiopia,ethiopia,ethiopia 8993",5
181,BEL,211,Belgium,"Belgium,belgium",4
182,ROM,360,Romania,"Romania,romania,rumania",4
183,NOR,385,Norway,"Norway,norway",4
184,DEN,390,Denmark,"Denmark,denmark",4
185,UGA,500,Uganda,"Uganda,uganda",4
186,BOT,571,Botswana,"Botswana,botswana",4
187,BNG,771,Bangladesh,"Bangladesh,bangladesh,bngldsh",4
188,THI,800,Thailand,"Thailand,thailand",4
189,CAM,811,Cambodia,"Cambodia,cambodia,kampuchea,cambodia kampuchea,cambod,democratic kampuchea",4
190,ETM,860,East Timor,East Timor,4
191,DOM,42,Dominican Republic,"Dominican Republic,dominican republic,dominican rep,dom_rep",3
192,DMA,54,Dominica,"Dominica,dominica,dominica is",3
193,GRC,350,Greece,"Greece,greece",3
194,CYP,352,Cyprus,"Cyprus,cyprus",3
195,MSI,983,Marshall Islands,"Marshall Islands,marshall islands,marshall is",3
196,BHM,31,Bahamas,"Bahamas,bahamas",2
197,JAM,51,Jamaica,"Jamaica,jamaica",2
198,COS,94,Costa Rica,"Costa Rica,costa rica,costarica,cos_rica",2
199,PER,135,Peru,"Peru,peru",2
200,ARM,371,Armenia,"Armenia,armenia",2
201,FIN,375,Finland,"Finland,finland",2
202,BFO,439,Burkina Faso,"Burkina Faso,burkina faso,upper volta,burkina faso upper volta,Upp,hvo,burkina",2
203,SIE,451,Sierra Leone,"Sierra Leone,sierra leone,sier_ln",2
204,BUI,516,Burundi,"Burundi,burundi",2
205,RWA,517,Rwanda,"Rwanda,rwanda",2
206,ZIM,552,Zimbabwe,"Zimbabwe,zimbabwe,rhodesia,zimbabwe rhodesia",2
207,MAW,553,Malawi,"Malawi,malawi",2
208,MOR,600,Morocco,"Morocco,morocco",2
209,KUW,690,Kuwait,"Kuwait,kuwait",2
210,NEP,790,Nepal,"Nepal,nepal",2
211,NEW,920,New Zealand,"New Zealand,new zealand,new_zeal",2
212,SOL,940,Solomon Islands,"Solomon Islands,solomon islands,solomon is",2
213,TON,955,Tonga,"Tonga,tonga",2
214,ARG,160,Argentina,"Argentina,argentina,argent",1
215,LUX,212,Luxembourg,"Luxembourg,luxembourg",1
216,CZR,316,Czech Republic,"Czech Republic,czech republic,czechrep,czech rep,czech republic ",1
217,ICE,395,Iceland,"Iceland,iceland",1
218,TAZ,510,Tanzania,"Tanzania,tanzania,tanganyika,tanzania/tanganyika,united republic of tanzania,tanzania united republic of",1
219,LAO,812,Laos,"Laos,laos,lao people's democratic republic,lao,lao pdr",1
220,BRU,835,Brunei,"Brunei,brunei,brunei darussalam",1
221,WSM,990,Samoa,"Samoa,western samoa,samoa",1
